title,url,author_name,word_count
"'Saya lihat air, kayu dan batang kelapa sawit seperti tsunami' - Mangsa kepala air",https://www.hmetro.com.my/utama/2024/08/1126531/saya-lihat-air-kayu-dan-batang-kelapa-sawit-seperti-tsunami-mangsa-kepala-air,BERNAMA,366
Norza tunai janji letak jawatan presiden BAM,https://www.hmetro.com.my/utama/2024/08/1126499/norza-tunai-janji-letak-jawatan-presiden-bam,BERNAMA,98
Perlu lebih ramai pakar DNA,https://www.hmetro.com.my/utama/2024/08/1126448/perlu-lebih-ramai-pakar-dna,Skuad Khas Harian Metro,340
Petunjuk DNA kunci selesai kes,https://www.hmetro.com.my/utama/2024/08/1126435/petunjuk-dna-kunci-selesai-kes,Skuad Khas Harian Metro,616
Petunjuk DNA kunci selesai kes,https://www.hmetro.com.my/utama/2024/08/1126435/petunjuk-dna-kunci-selesai-kes,Skuad Khas Harian Metro,616
'Tolong selamatkan ibu saya' - Anak mangsa lubang benam,https://www.hmetro.com.my/utama/2024/08/1126377/tolong-selamatkan-ibu-saya-anak-mangsa-lubang-benam,BERNAMA,260
Saksi derita orang didik diri bersyukur,https://www.hmetro.com.my/utama/2024/08/1126372/saksi-derita-orang-didik-diri-bersyukur,Muhamaad Razis Ismail,335
Tempa nama secara 'organik',https://www.hmetro.com.my/utama/2024/08/1126353/tempa-nama-secara-organik,Georgie Joseph,889
"Dhuha, Kelly raih emas keenam di kolam renang",https://www.hmetro.com.my/utama/2024/08/1126287/dhuha-kelly-raih-emas-keenam-di-kolam-renang,Faizal Salim,374
8 juta rakyat Malaysia bakal terima bantuan STR 29 Ogos ini,https://www.hmetro.com.my/utama/2024/08/1126198/8-juta-rakyat-malaysia-bakal-terima-bantuan-str-29-ogos-ini,Noor Atiqah Sulaiman,341
"'Katil seperti berbuai-buai, saya fikirkan ada berlaku gempa bumi'",https://www.hmetro.com.my/utama/2024/08/1126166/katil-seperti-berbuai-buai-saya-fikirkan-ada-berlaku-gempa-bumi,Nor Azizah Mokhtar,494
Merdeka cermin semangat perpaduan,https://www.hmetro.com.my/utama/2024/08/1125982/merdeka-cermin-semangat-perpaduan,Sri Ayu Kartika Amri,380
'Ramai anggap budak sekolah',https://www.hmetro.com.my/utama/2024/08/1125966/ramai-anggap-budak-sekolah,Noor Hidayah Tanzizi,343
"Mula suka, akhir nestapa",https://www.hmetro.com.my/utama/2024/08/1125962/mula-suka-akhir-nestapa,Fahiz Ariff,354
Magis atas pentas,https://www.hmetro.com.my/utama/2024/08/1125945/magis-atas-pentas,Syafil Syazwan Jefri,882
